央视V6,#genre#
CCTV1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226016/index.m3u8
CCTV2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8#http://114.254.82.142:88/tsfile/live/0002_1.m3u8
CCTV3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8#http://114.254.93.41:88/tsfile/live/0004_1.m3u8
CCTV5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8#http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9记录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11戏曲,http://114.254.93.41:88/tsfile/live/0011_1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV12社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8#http://114.254.80.92:88/tsfile/live/0013_1.m3u8
CCTV14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15音乐,http://114.254.93.41:88/tsfile/live/0015_1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
新闻综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226434/index.m3u8
晴彩竞技,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226124/index.m3u8
晴彩篮球,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226147/index.m3u8
农业科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226242/index.m3u8
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8

💋高清频道,#genre#
CCTV1-高码,http://tjzzz.top:36178/ysptp/cctv1.m3u8
CCTV2-高码,http://tjzzz.top:36178/ysptp/cctv2.m3u8
CCTV3-高码,http://tjzzz.top:36178/ysptp/cctv3.m3u8
CCTV4-高码,http://tjzzz.top:36178/ysptp/cctv4.m3u8
CCTV16-高码,http://tjzzz.top:36178/ysptp/cctv16.m3u8
CCTV4k_10m,http://tjzzz.top:36178/ysptp/cctv4k_10m.m3u8
CCTV8k_36m,http://tjzzz.top:36178/ysptp/cctv8k_36m.m3u8
CCTV8k_120m,http://tjzzz.top:36178/ysptp/cctv8k_120m.m3u8
CCTV16 4k,http://115.203.17.130:9999/rtp/233.50.201.63:5140
CCTV16-4K,http://171.80.219.57:8888/rtp/239.69.1.249:11136
CCTV16 4k,http://36.24.201.246:8888/rtp/233.50.201.63:5140
CCTV16 4K,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/5000000008000023254/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000008000023254
CCTV16 4K,http://guany.myds.me:25852/udp/233.50.201.63:5140
CCTV16奥林匹克4K,http://iptv.skygogo.cn:18889/rtp/239.49.0.109:8000
CCTV-4K 4K50p[3840*2160],http://www.kitcc.cn:8887/udp/239.77.0.174:5146
CCTV-4K 4K[3840*2160],http://www.kitcc.cn:8887/udp/239.77.0.194:5146
CCTV16 4K,http://zdgrom5o.mi4.xyz:8888/udp/239.76.254.200:9000
CCTV4K超高清[3840*2160],http://[2409:8087:2801:20:100::010]/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229373/index.m3u8?fmt=ts2hls
CCTV4K超高清50帧,http://[2409:8087:2801:22:100::48]/wh7f454c46tw3853113344_884900799/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229373/1/index.m3u8?fmt=ts2hls
CCTV4K,http://59.172.117.82:8880/udp/239.69.1.111:10304
CCTV4K,http://ha.fengying138.top:8888/udp/239.76.246.214:1234
CCTV4K 35M2160,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229373/01.m3u8?fmt=ts2hls
CCTV4K,http://zmcy.gzcy020.cn:50000/udp/239.77.1.180:5146
求索记录4k,http://[2409:8087:2801:22:100::6f]/wh7f454c46tw310829647_836254127/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232776/1/index.m3u8?fmt=ts2hls
4KUHD,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010006/1.m3u8
4KUHD,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010006/1.m3u8
纯享4K,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000004000011651/1.m3u8
纯享4k,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010006/1.m3u8
爱上4K[超清],http://123.120.110.154:8686/rtp/239.3.1.236:2000
4K超清[超清],http://123.120.110.154:8686/rtp/239.3.1.249:8001
百事通4K儿童,http://180.158.150.239:8888/udp/239.45.1.1:5140
百事通4K纪实,http://180.158.150.239:8888/udp/239.45.1.10:5140
4K影视,http://218.68.52.22:8888/udp/225.1.2.190:5002
百事通4K纪实,http://218.80.79.205:4022/udp/239.45.1.10:5140
百事通4K儿童,http://58.32.17.71:4022/udp/239.45.1.1:5140
百事通4K纪实,http://58.32.17.71:4022/udp/239.45.1.10:5140
百事通4K儿童,http://58.37.102.115:4022/udp/239.45.1.1:5140
百事通4K纪实,http://58.37.102.115:4022/udp/239.45.1.10:5140
欢笑剧场4K,http://58.37.102.115:4022/udp/239.45.1.4:5140
百事通4K儿童,http://58.37.132.119:8888/udp/239.45.1.1:5140
百事通4K纪实,http://58.37.132.119:8888/udp/239.45.1.10:5140
欢笑剧场4K,http://58.37.132.119:8888/udp/239.45.1.4:5140
百事通4K电影,http://58.37.132.119:8888/udp/239.45.3.107:5140
百事通4K儿童,http://58.41.27.144:18888/udp/239.45.1.1:5140
百事通4K纪实,http://58.41.27.144:18888/udp/239.45.1.10:5140
百事通4K电影,http://58.41.27.144:18888/udp/239.45.3.107:5140
纯享精彩 4K,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000004000011651/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000004000011651
纯享4K,http://gslbservzqhsw.itv.cmvideo.cn/1000000004000011651/index.m3u8?channel-id=ystenlive&Contentid=1000000004000011651&livemode=1&stbId=3
欢笑剧场4K,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230782/1/index.m3u8?fmt=ts2hls
求索纪录4K[3840*2160],http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232776/index.m3u8?fmt=ts2hls
爱上4K[超清],http://ikuai.zlsip.top:4022/rtp/239.3.1.236:2000
4K超清[超清],http://ikuai.zlsip.top:4022/rtp/239.3.1.249:8001
4K超清播电影,http://imzbpfrp.zzmd.fun:8888/rtp/239.3.1.249:8001
百事通4K儿童,http://www.17888.fun:10000//rtp/239.45.1.1:5140
百事通4K纪实,http://www.17888.fun:10000//rtp/239.45.1.10:5140
百事通4K电影,http://www.17888.fun:10000//udp/239.45.3.107:5140
百事通儿童4K,http://www.17888.fun:10000/rtp/239.45.1.1:5140
百事通纪实4K,http://www.17888.fun:10000/rtp/239.45.1.10:5140
BesTV电影4K,http://www.17888.fun:10000/udp/239.45.3.107:5140
爱上4K,http://www.ly123.fun:10000/rtp/235.254.198.102:7980
爱上4K,http://www.weec.top:2222/udp/239.3.1.236:2000
4K超清,http://www.weec.top:2222/udp/239.3.1.249:8001
NHK BS4K,https://epg.pw/stream/2bb9f4df9747121711e705fd78f2ceebf359f0d42ca01284fb760f44541fd0d7.m3u8
NHK BSP4K,https://stream1.freetv.fun/2bb9f4df9747121711e705fd78f2ceebf359f0d42ca01284fb760f44541fd0d7.m3u8
NHK BS PREMIUM 4K,https://stream1.freetv.fun/77108c5cbeffe019b7bf7f41753f861fe9873f3a4f5a53d4f431dae3126b0aae.m3u8
nhk bsp4k,https://stream1.freetv.fun/nhk-bsp4k-2.m3u8
nhk bs premium 4k,https://stream1.freetv.fun/nhk-bs-premium-2.m3u8
北京超清4K,http://bjuni.iptv.im2k.com:5018/rtp/239.3.1.249:8001
北京超清4K,http://www.weec.top:2222/rtp/239.3.1.249:8001
「联通2」爱上4K[超清],http://iptv.8t.cx:8180/rtp/239.3.1.236:2000
「联通2」4K超清[超清],http://iptv.8t.cx:8180/rtp/239.3.1.249:8001

教育,#genre#
CETV1中国教育电视台一套,http://hwylivehd.centv.cn/cetv1/ypd.m3u8#http://mobilelive-ds.ysp.cctv.cn/ysp/2022823801_fhd.m3u8
CETV2中国教育电视台二套,http://hwylivehd.centv.cn/cetv2/2020tsytk.m3u8
CETV3中国教育电视台三套,http://hwylivehd.centv.cn/cetv3/bjdm.m3u8
CETV4空中课堂频道,http://hwylivehd.centv.cn/cetv4/zjpd.m3u8

河南台,#genre#
河南卫视4K,http://39.134.220.23:80/wh7f454c46tw2315330485_1093006359/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226526/1.m3u8
河南卫视,http://39.135.171.20:80/wh7f454c46tw1916333624_1639744579/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226639/1.m3u8#http://39.134.220.81:80/wh7f454c46tw1062656185_-525396893/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226639/1.m3u8
都市频道,http://39.135.171.32:80/wh7f454c46tw1441549668_-1111315699/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226649/1.m3u8
河南电视剧频道,http://111.7.150.119:80/wh7f454c46tw3210314218_1937697704/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226521/1.m3u8
河南国际,http://39.135.171.27:80/wh7f454c46tw2359358935_-2052753850/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226588/1.m3u8
乡村频道,http://111.7.150.21:80/wh7f454c46tw2479681960_-985648822/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226576/1.m3u8
公共频道,http://39.135.171.28:80/wh7f454c46tw1882086775_-1399151626/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226566/1.m3u8
宜阳综合,http://live.dxhmt.cn:9081/tv/10327-1.m3u8#http://tvpull.dxhmt.cn:9081/tv/10327-1.m3u8
登封新闻综合频道,http://live.dxhmt.cn:9081/tv/10185-1.m3u8
巩义新闻综合频道,http://live.dxhmt.cn:9081/tv/10181-1.m3u8
新密新闻综合频道,http://live.dxhmt.cn:9081/tv/10183-2.m3u8
荥阳新闻综合频道,http://live.dxhmt.cn:9081/tv/10182-1.m3u8
新郑新闻综合频道,http://live.dxhmt.cn:9081/tv/10184-1.m3u8
滑县一套新闻综合频道,http://live.dxhmt.cn:9081/tv/10526-1.m3u8
林州新闻综合频道,http://live.dxhmt.cn:9081/tv/10581-1.m3u8
内黄新闻综合频道,http://live.dxhmt.cn:9081/tv/10527-1.m3u8
汤阴新闻综合频道,http://live.dxhmt.cn:9081/tv/10523-1.m3u8
洛阳一套综合频道,http://wshls.live.migucloud.com/live/C788MHFD_C0/playlist.m3u8
洛阳二套科教频道,http://wshls.live.migucloud.com/live/CXGQPXRK_C0/playlist.m3u8
洛阳三套文旅频道,http://wshls.live.migucloud.com/live/FJ7Q9PIT_C0/playlist.m3u8
汝阳综合频道,http://live.dxhmt.cn:9081/tv/10326-1.m3u8
栾川新闻综合频道,http://live.dxhmt.cn:9081/tv/10324-1.m3u8
新安电视台综合频道,http://live.dxhmt.cn:9081/tv/10323-1.m3u8
淇县电视台,http://live.dxhmt.cn:9081/tv/10622-1.m3u8
南乐电视台,http://live.dxhmt.cn:9081/tv/10923-1.m3u8
长垣新闻综合频道,http://live.dxhmt.cn:9081/tv/10728-1.m3u8
封丘一套新闻综合频道,http://live.dxhmt.cn:9081/tv/10727-1.m3u8
辉县新闻综合频道,http://live.dxhmt.cn:9081/tv/10782-1.m3u8
卫辉新闻综合频道,http://live.dxhmt.cn:9081/tv/10781-1.m3u8
新乡县新闻综合频道,http://live.dxhmt.cn:9081/tv/10721-1.m3u8
焦作新闻综合频道,http://zhpull.dxhmt.cn/jiaozuo/b75a92c9503e47cf9e89f7ff247b65f2/playlist.m3u8
焦作公共频道,http://zhpull.dxhmt.cn/jiaozuo/29b65b69130c4ef1a3283cc7b913da05/playlist.m3u8
焦作睛彩频道,http://zhpull.dxhmt.cn/jiaozuo/c5eb91b47f0e42318f34fc0247c8acaa/playlist.m3u8
沁阳新闻综合频道,http://live.dxhmt.cn:9081/tv/10882-1.m3u8
焦作教育频道,http://zhpull.dxhmt.cn/jiaozuo/9c10435ad24c409baee219ec289e17d0/playlist.m3u8
孟州新闻综合频道,http://live.dxhmt.cn:9081/tv/10883-1.m3u8
武陟新闻综合频道,http://live.dxhmt.cn:9081/tv/10823-1.m3u8
灵宝新闻综合频道,http://live.dxhmt.cn:9081/tv/11282-1.m3u8
渑池新闻综合频道,http://live.dxhmt.cn:9081/tv/11221-1.m3u8
义马新闻综合频道,http://live.dxhmt.cn:9081/tv/11281-1.m3u8
兰考新闻综合频道,http://live.dxhmt.cn:9081/tv/10225-1.m3u8
通许新闻综合频道,http://live.dxhmt.cn:9081/tv/10222-1.m3u8
尉氏新闻综合频道,http://live.dxhmt.cn:9081/tv/10223-1.m3u8
永城新闻综合频道,http://live.dxhmt.cn:9081/tv/11481-1.m3u8
襄城新闻综合频道,http://live.dxhmt.cn:9081/tv/11025-1.m3u8
鄢陵新闻综合频道,http://live.dxhmt.cn:9081/tv/11024-1.m3u8
